token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
central,central,"('central', 'JJ')",central,central,introduction,central,O,,
Gulf,gulf,"('gulf', 'NN')",gulf,gulf,introduction,Gulf,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
coast,coast,"('coast', 'NN')",coast,coast,introduction,coast,O,,
among,among,"('among', 'IN')",among,among,introduction,among,O,,
yet,yet,"('yet', 'RB')",yet,yet,introduction,yet,O,,
distinct,distinct,"('distinct', 'JJ')",distinct,distinct,introduction,distinct,O,,
areas,areas,"('areas', 'NNS')",area,area,introduction,areas,O,,
Mexico,mexico,"('mexico', 'NN')",mexico,mexico,introduction,Mexico,B,GPE,"Countries, cities, states"
Mexico,mexico,"('mexico', 'JJ')",mexico,mexico,introduction,Mexico,B,GPE,"Countries, cities, states"
City,city,"('city', 'NN')",citi,city,introduction,City,I,GPE,"Countries, cities, states"
descend,descend,"('descend', 'VBP')",descend,descend,introduction,descend,O,,
southern,southern,"('southern', 'JJ')",southern,southern,introduction,southern,O,,
fringes,fringes,"('fringes', 'NNS')",fring,fringe,introduction,fringes,O,,
Sierra,sierra,"('sierra', 'NN')",sierra,sierra,introduction,Sierra,B,ORG,"Companies, agencies, institutions, etc."
Madre,madre,"('madre', 'NN')",madr,madre,introduction,Madre,I,ORG,"Companies, agencies, institutions, etc."
Oriental,oriental,"('oriental', 'JJ')",orient,oriental,introduction,Oriental,I,ORG,"Companies, agencies, institutions, etc."
Dropdown,dropdown,"('dropdown', 'NN')",dropdown,dropdown,introduction,Dropdown,I,ORG,"Companies, agencies, institutions, etc."
content,content,"('content', 'NN')",content,content,introduction,content,O,,
past,past,"('past', 'IN')",past,past,introduction,past,O,,
country,country,"('country', 'NN')",countri,country,introduction,country,O,,
highest,highest,"('highest', 'JJS')",highest,high,introduction,highest,O,,
peaks,peaks,"('peaks', 'NNS')",peak,peak,introduction,peaks,O,,
broad,broad,"('broad', 'JJ')",broad,broad,introduction,broad,O,,
hot,hot,"('hot', 'NN')",hot,hot,introduction,hot,O,,
wet,wet,"('wet', 'JJ')",wet,wet,introduction,wet,O,,
coastal,coastal,"('coastal', 'NN')",coastal,coastal,introduction,coastal,O,,
plain,plain,"('plain', 'NN')",plain,plain,introduction,plain,O,,
this,this,"('this', 'DT')",thi,this,introduction,this,O,,
fertile,fertile,"('fertile', 'JJ')",fertil,fertile,introduction,fertile,O,,
tropical,tropical,"('tropical', 'JJ')",tropic,tropical,introduction,tropical,O,,
zone,zone,"('zone', 'NN')",zone,zone,introduction,zone,O,,
earliest,earliest,"('earliest', 'JJS')",earliest,early,introduction,earliest,O,,
Mexican,mexican,"('mexican', 'JJ')",mexican,mexican,introduction,Mexican,B,NORP,Nationalities or religious or political groups
civilizations,civilizations,"('civilizations', 'NNS')",civil,civilization,introduction,civilizations,O,,
developed,developed,"('developed', 'VBD')",develop,develop,introduction,developed,O,,
Olmec,olmec,"('olmec', 'JJ')",olmec,olmec,introduction,Olmec,O,,
culture,culture,"('culture', 'NN')",cultur,culture,introduction,culture,O,,
dominated,dominated,"('dominated', 'VBD')",domin,dominate,introduction,dominated,O,,
southern,southern,"('southern', 'JJ')",southern,southern,introduction,southern,O,,
half,half,"('half', 'NN')",half,half,introduction,half,B,CARDINAL,Numerals that do not fall under another type
state,state,"('state', 'NN')",state,state,introduction,state,O,,
BC,bc,"('bc', 'NN')",bc,bc,introduction,BC,B,ORG,"Companies, agencies, institutions, etc."
civilization,civilization,"('civilization', 'NN')",civil,civilization,introduction,civilization,O,,
known,known,"('known', 'VBN')",known,know,introduction,known,O,,
Classic,classic,"('classic', 'JJ')",classic,classic,introduction,Classic,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Veracruz,veracruz,"('veracruz', 'NN')",veracruz,veracruz,introduction,Veracruz,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
flourished,flourished,"('flourished', 'VBD')",flourish,flourish,introduction,flourished,O,,
AD,ad,"('ad', 'NN')",ad,ad,introduction,AD,O,,
centres,centres,"('centres', 'NNS')",centr,centre,introduction,centres,O,,
El,el,"('el', 'NN')",el,el,introduction,El,B,ORG,"Companies, agencies, institutions, etc."
Tajín,tajín,"('tajín', 'NN')",tajín,tajín,introduction,Tajín,I,ORG,"Companies, agencies, institutions, etc."
Today,today,"('today', 'NN')",today,today,introduction,Today,O,,
Huastec,huastec,"('huastec', 'NN')",huastec,huastec,introduction,Huastec,O,,
Totonac,totonac,"('totonac', 'JJ')",totonac,totonac,introduction,Totonac,O,,
culture,culture,"('culture', 'NN')",cultur,culture,introduction,culture,O,,
remains,remains,"('remains', 'VBZ')",remain,remain,introduction,remains,O,,
strong,strong,"('strong', 'JJ')",strong,strong,introduction,strong,O,,
north,north,"('north', 'JJ')",north,north,introduction,north,O,,
Cortés,cortés,"('cortés', 'NN')",corté,cortés,introduction,Cortés,B,PERSON,"People, including fictional"
began,began,"('began', 'VBD')",began,begin,introduction,began,O,,
his,his,"('his', 'PRP$')",hi,his,introduction,his,O,,
march,march,"('march', 'NN')",march,march,introduction,march,O,,
Aztec,aztec,"('aztec', 'JJ')",aztec,aztec,introduction,Aztec,B,NORP,Nationalities or religious or political groups
capital,capital,"('capital', 'NN')",capit,capital,introduction,capital,O,,
Veracruz,veracruz,"('veracruz', 'NN')",veracruz,veracruz,introduction,Veracruz,B,GPE,"Countries, cities, states"
