token,normed_token,pos_tags,stemmed_token,lemma_token,class,ent_text,ent_iob,ent_type,ent_desc
Montréal,montréal,"('montréal', 'NN')",montréal,montréal,introduction,Montréal,B,PERSON,"People, including fictional"
downtown,downtown,"('downtown', 'JJ')",downtown,downtown,introduction,downtown,O,,
lies,lies,"('lies', 'VBZ')",lie,lie,introduction,lies,O,,
roughly,roughly,"('roughly', 'RB')",roughli,roughly,introduction,roughly,O,,
rue,rue,"('rue', 'JJ')",rue,rue,introduction,rue,O,,
Sherbrooke,sherbrooke,"('sherbrooke', 'NN')",sherbrook,sherbrooke,introduction,Sherbrooke,B,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
rue,rue,"('rue', 'NN')",rue,rue,introduction,rue,I,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
north,north,"('north', 'NN')",north,north,introduction,north,O,,
south,south,"('south', 'JJ')",south,south,introduction,south,O,,
towards,towards,"('towards', 'NNS')",toward,towards,introduction,towards,O,,
rue,rue,"('rue', 'NN')",rue,rue,introduction,rue,B,LOC,"Non-GPE locations, mountain ranges, bodies of water"
east,east,"('east', 'NN')",east,east,introduction,east,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
overlapping,overlapping,"('overlapping', 'VBG')",overlap,overlap,introduction,overlapping,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
area,area,"('area', 'NN')",area,area,introduction,area,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
known,known,"('known', 'VBN')",known,know,introduction,known,I,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Golden,golden,"('golden', 'JJ')",golden,golden,introduction,Golden,B,FAC,"Buildings, airports, highways, bridges, etc."
Square,square,"('square', 'NN')",squar,square,introduction,Square,I,FAC,"Buildings, airports, highways, bridges, etc."
Mile,mile,"('mile', 'NN')",mile,mile,introduction,Mile,I,FAC,"Buildings, airports, highways, bridges, etc."
stretches,stretches,"('stretches', 'VBZ')",stretch,stretch,introduction,stretches,O,,
west,west,"('west', 'JJ')",west,west,introduction,west,O,,
beyond,beyond,"('beyond', 'IN')",beyond,beyond,introduction,beyond,O,,
rue,rue,"('rue', 'JJ')",rue,rue,introduction,rue,O,,
Guy,guy,"('guy', 'NN')",guy,guy,introduction,Guy,O,,
main,main,"('main', 'JJ')",main,main,introduction,main,O,,
streets,streets,"('streets', 'NNS')",street,street,introduction,streets,O,,
rue,rue,"('rue', 'VBP')",rue,rue,introduction,rue,O,,
offers,offers,"('offers', 'VBZ')",offer,offer,introduction,offers,O,,
way,way,"('way', 'NN')",way,way,introduction,way,O,,
shopping,shopping,"('shopping', 'VBG')",shop,shop,introduction,shopping,O,,
dining,dining,"('dining', 'NN')",dine,dining,introduction,dining,O,,
entertainment,entertainment,"('entertainment', 'NN')",entertain,entertainment,introduction,entertainment,O,,
boulevard,boulevard,"('boulevard', 'NN')",boulevard,boulevard,introduction,boulevard,O,,
de,de,"('de', 'IN')",de,de,introduction,de,B,PERSON,"People, including fictional"
Maisonneuve,maisonneuve,"('maisonneuve', 'FW')",maisonneuv,maisonneuve,introduction,Maisonneuve,I,PERSON,"People, including fictional"
Quartier,quartier,"('quartier', 'NN')",quartier,quartier,introduction,Quartier,I,PERSON,"People, including fictional"
des,des,"('des', 'VBZ')",de,des,introduction,des,I,PERSON,"People, including fictional"
Spectacles,spectacles,"('spectacles', 'NNS')",spectacl,spectacle,introduction,Spectacles,I,PERSON,"People, including fictional"
functions,functions,"('functions', 'NNS')",function,function,introduction,functions,O,,
Montréal,montréal,"('montréal', 'NN')",montréal,montréal,introduction,Montréal,B,ORG,"Companies, agencies, institutions, etc."
entertainment,entertainment,"('entertainment', 'NN')",entertain,entertainment,introduction,entertainment,O,,
hub,hub,"('hub', 'VBZ')",hub,hub,introduction,hub,O,,
number,number,"('number', 'NN')",number,number,introduction,number,O,,
Métro,métro,"('métro', 'JJ')",métro,métro,introduction,Métro,B,PERSON,"People, including fictional"
stations,stations,"('stations', 'NNS')",station,station,introduction,stations,O,,
provide,provide,"('provide', 'VBP')",provid,provide,introduction,provide,O,,
easy,easy,"('easy', 'JJ')",easi,easy,introduction,easy,O,,
access,access,"('access', 'NN')",access,access,introduction,access,O,,
downtown,downtown,"('downtown', 'VB')",downtown,downtown,introduction,downtown,O,,
attractions,attractions,"('attractions', 'NNS')",attract,attraction,introduction,attractions,O,,
linked,linked,"('linked', 'VBN')",link,link,introduction,linked,O,,
Underground,underground,"('underground', 'JJ')",underground,underground,introduction,Underground,B,GPE,"Countries, cities, states"
City,city,"('city', 'NN')",citi,city,introduction,City,I,GPE,"Countries, cities, states"
area,area,"('area', 'NN')",area,area,introduction,area,O,,
also,also,"('also', 'RB')",also,also,introduction,also,O,,
dotted,dotted,"('dotted', 'VBN')",dot,dot,introduction,dotted,O,,
old,old,"('old', 'JJ')",old,old,introduction,old,O,,
churches,churches,"('churches', 'NNS')",church,church,introduction,churches,O,,
museums,museums,"('museums', 'NNS')",museum,museum,introduction,museums,O,,
public,public,"('public', 'JJ')",public,public,introduction,public,O,,
squares,squares,"('squares', 'NNS')",squar,square,introduction,squares,O,,
filled,filled,"('filled', 'VBN')",fill,fill,introduction,filled,O,,
activity,activity,"('activity', 'NN')",activ,activity,introduction,activity,O,,
buskers,buskers,"('buskers', 'NNS')",busker,busker,introduction,buskers,O,,
artists,artists,"('artists', 'NNS')",artist,artist,introduction,artists,O,,
market,market,"('market', 'NN')",market,market,introduction,market,O,,
vendors,vendors,"('vendors', 'NNS')",vendor,vendor,introduction,vendors,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
main,main,"('main', 'JJ')",main,main,description,main,O,,
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,description,commercial,O,,
thoroughfare,thoroughfare,"('thoroughfare', 'NN')",thoroughfar,thoroughfare,description,thoroughfare,O,,
since,since,"('since', 'IN')",sinc,since,description,since,O,,
early,early,"('early', 'JJ')",earli,early,description,early,O,,
rue,rue,"('rue', 'NN')",rue,rue,description,rue,O,,
stretches,stretches,"('stretches', 'NNS')",stretch,stretch,description,stretches,O,,
across,across,"('across', 'IN')",across,across,description,across,O,,
island,island,"('island', 'NN')",island,island,description,island,O,,
part,part,"('part', 'NN')",part,part,description,part,O,,
east,east,"('east', 'NN')",east,east,description,east,O,,
rue,rue,"('rue', 'NN')",rue,rue,description,rue,O,,
Guy,guy,"('guy', 'NN')",guy,guy,description,Guy,O,,
serving,serving,"('serving', 'VBG')",serv,serve,description,serving,O,,
main,main,"('main', 'JJ')",main,main,description,main,O,,
shopping,shopping,"('shopping', 'NN')",shop,shopping,description,shopping,O,,
artery,artery,"('artery', 'NN')",arteri,artery,description,artery,O,,
consumerist,consumerist,"('consumerist', 'NN')",consumerist,consumerist,description,consumerist,O,,
gloss,gloss,"('gloss', 'IN')",gloss,gloss,description,gloss,O,,
road,road,"('road', 'NN')",road,road,description,road,O,,
still,still,"('still', 'RB')",still,still,description,still,O,,
has,has,"('has', 'VBZ')",ha,have,description,has,O,,
seedy,seedy,"('seedy', 'NN')",seedi,seedy,description,seedy,O,,
bits,bits,"('bits', 'NNS')",bit,bit,description,bits,O,,
occasional,occasional,"('occasional', 'JJ')",occasion,occasional,description,occasional,O,,
strip,strip,"('strip', 'NN')",strip,strip,description,strip,O,,
club,club,"('club', 'NN')",club,club,description,club,O,,
enlivening,enlivening,"('enlivening', 'VBG')",enliven,enliven,description,enlivening,O,,
streetscape,streetscape,"('streetscape', 'NN')",streetscap,streetscape,description,streetscape,O,,
though,though,"('though', 'IN')",though,though,description,though,O,,
phased,phased,"('phased', 'VBN')",phase,phase,description,phased,O,,
along,along,"('along', 'IN')",along,along,description,along,O,,
street,street,"('street', 'NN')",street,street,description,street,O,,
passes,passes,"('passes', 'VBZ')",pass,pass,description,passes,O,,
Quartier,quartier,"('quartier', 'JJR')",quartier,quartier,description,Quartier,B,NORP,Nationalities or religious or political groups
Latin,latin,"('latin', 'JJ')",latin,latin,description,Latin,I,NORP,Nationalities or religious or political groups
forms,forms,"('forms', 'NNS')",form,form,description,forms,O,,
heart,heart,"('heart', 'NN')",heart,heart,description,heart,O,,
gay,gay,"('gay', 'JJ')",gay,gay,description,gay,O,,
village,village,"('village', 'NN')",villag,village,description,village,O,,
cuts,cuts,"('cuts', 'NNS')",cut,cut,description,cuts,O,,
Quartier,quartier,"('quartier', 'JJR')",quartier,quartier,description,Quartier,B,ORG,"Companies, agencies, institutions, etc."
des,des,"('des', 'NNS')",de,de,description,des,I,ORG,"Companies, agencies, institutions, etc."
Spectacles,spectacles,"('spectacles', 'VBP')",spectacl,spectacles,description,Spectacles,I,ORG,"Companies, agencies, institutions, etc."
splashy,splashy,"('splashy', 'JJ')",splashi,splashy,description,splashy,O,,
entertainment,entertainment,"('entertainment', 'NN')",entertain,entertainment,description,entertainment,O,,
neighbours,neighbours,"('neighbours', 'NNS')",neighbour,neighbour,description,neighbours,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
commissioned,commissioned,"('commissioned', 'VBN')",commiss,commission,description,commissioned,O,,
Bishop,bishop,"('bishop', 'NN')",bishop,bishop,description,Bishop,B,ORG,"Companies, agencies, institutions, etc."
Ignace,ignace,"('ignace', 'NN')",ignac,ignace,description,Ignace,I,ORG,"Companies, agencies, institutions, etc."
Bourget,bourget,"('bourget', 'NN')",bourget,bourget,description,Bourget,I,ORG,"Companies, agencies, institutions, etc."
reminder,reminder,"('reminder', 'NN')",remind,reminder,description,reminder,O,,
Catholicism,catholicism,"('catholicism', 'NN')",catholic,catholicism,description,Catholicism,O,,
still,still,"('still', 'RB')",still,still,description,still,O,,
dominated,dominated,"('dominated', 'VBD')",domin,dominate,description,dominated,O,,
largest,largest,"('largest', 'JJS')",largest,large,description,largest,O,,
city,city,"('city', 'NN')",citi,city,description,city,O,,
new,new,"('new', 'JJ')",new,new,description,new,O,,
Dominion,dominion,"('dominion', 'NN')",dominion,dominion,description,Dominion,B,ORG,"Companies, agencies, institutions, etc."
Canada,canada,"('canada', 'NNS')",canada,canada,description,Canada,I,ORG,"Companies, agencies, institutions, etc."
Impressed,impressed,"('impressed', 'VBN')",impress,impress,description,Impressed,I,ORG,"Companies, agencies, institutions, etc."
St,st,"('st', 'NN')",st,st,description,St,O,,
Peter,peter,"('peter', 'NN')",peter,peter,description,Peter,O,,
visiting,visiting,"('visiting', 'VBG')",visit,visit,description,visiting,O,,
Rome,rome,"('rome', 'JJ')",rome,rome,description,Rome,O,,
Bourget,bourget,"('bourget', 'NN')",bourget,bourget,description,Bourget,O,,
created,created,"('created', 'VBD')",creat,create,description,created,O,,
replica,replica,"('replica', 'NN')",replica,replica,description,replica,O,,
famous,famous,"('famous', 'JJ')",famou,famous,description,famous,O,,
church,church,"('church', 'NN')",church,church,description,church,O,,
statues,statues,"('statues', 'NNS')",statu,statue,description,statues,O,,
crowning,crowning,"('crowning', 'VBG')",crown,crown,description,crowning,O,,
St,st,"('st', 'NN')",st,st,description,St,B,PERSON,"People, including fictional"
Peter,peter,"('peter', 'NN')",peter,peter,description,Peter,I,PERSON,"People, including fictional"
facade,facade,"('facade', 'NN')",facad,facade,description,facade,O,,
Apostles,apostles,"('apostles', 'NNS')",apostl,apostle,description,Apostles,O,,
thirteen,thirteen,"('thirteen', 'JJ')",thirteen,thirteen,description,thirteen,O,,
statues,statues,"('statues', 'NNS')",statu,statue,description,statues,O,,
atop,atop,"('atop', 'VBP')",atop,atop,description,atop,O,,
smaller,smaller,"('smaller', 'JJR')",smaller,small,description,smaller,O,,
cousin,cousin,"('cousin', 'NN')",cousin,cousin,description,cousin,O,,
represent,represent,"('represent', 'VBP')",repres,represent,description,represent,O,,
patron,patron,"('patron', 'NN')",patron,patron,description,patron,O,,
saints,saints,"('saints', 'NNS')",saint,saint,description,saints,O,,
parishes,parishes,"('parishes', 'NNS')",parish,parish,description,parishes,O,,
donated,donated,"('donated', 'VBD')",donat,donate,description,donated,O,,
inside,inside,"('inside', 'NN')",insid,inside,description,inside,O,,
opulent,opulent,"('opulent', 'JJ')",opul,opulent,description,opulent,O,,
might,might,"('might', 'MD')",might,might,description,might,O,,
expect,expect,"('expect', 'VB')",expect,expect,description,expect,O,,
though,though,"('though', 'IN')",though,though,description,though,O,,
high,high,"('high', 'JJ')",high,high,description,high,O,,
altar,altar,"('altar', 'NN')",altar,altar,description,altar,O,,
marble,marble,"('marble', 'JJ')",marbl,marble,description,marble,O,,
onyx,onyx,"('onyx', 'NN')",onyx,onyx,description,onyx,O,,
ivory,ivory,"('ivory', 'NN')",ivori,ivory,description,ivory,O,,
surmounted,surmounted,"('surmounted', 'VBN')",surmount,surmount,description,surmounted,O,,
gilded,gilded,"('gilded', 'JJ')",gild,gilded,description,gilded,O,,
copper,copper,"('copper', 'NN')",copper,copper,description,copper,O,,
reproduction,reproduction,"('reproduction', 'NN')",reproduct,reproduction,description,reproduction,O,,
Bernini,bernini,"('bernini', 'NN')",bernini,bernini,description,Bernini,B,NORP,Nationalities or religious or political groups
baldachin,baldachin,"('baldachin', 'NN')",baldachin,baldachin,description,baldachin,O,,
altar,altar,"('altar', 'NN')",altar,altar,description,altar,O,,
St,st,"('st', 'JJ')",st,st,description,St,B,PERSON,"People, including fictional"
Peter,peter,"('peter', 'NN')",peter,peter,description,Peter,I,PERSON,"People, including fictional"
left,left,"('left', 'VBN')",left,leave,description,left,O,,
entering,entering,"('entering', 'VBG')",enter,enter,description,entering,O,,
Chapelle,chapelle,"('chapelle', 'NN')",chapel,chapelle,description,Chapelle,B,ORG,"Companies, agencies, institutions, etc."
des,des,"('des', 'VBZ')",de,des,description,des,I,ORG,"Companies, agencies, institutions, etc."
Souvenirs,souvenirs,"('souvenirs', 'JJ')",souvenir,souvenirs,description,Souvenirs,I,ORG,"Companies, agencies, institutions, etc."
contains,contains,"('contains', 'NNS')",contain,contains,description,contains,O,,
various,various,"('various', 'JJ')",variou,various,description,various,O,,
relics,relics,"('relics', 'NNS')",relic,relic,description,relics,O,,
including,including,"('including', 'VBG')",includ,include,description,including,O,,
remains,remains,"('remains', 'NNS')",remain,remains,description,remains,O,,
St,st,"('st', 'NN')",st,st,description,St,B,PERSON,"People, including fictional"
Zoticus,zoticus,"('zoticus', 'NN')",zoticu,zoticus,description,Zoticus,I,PERSON,"People, including fictional"
patron,patron,"('patron', 'NN')",patron,patron,description,patron,O,,
saint,saint,"('saint', 'NN')",saint,saint,description,saint,O,,
quiet,quiet,"('quiet', 'JJ')",quiet,quiet,description,quiet,O,,
grounds,grounds,"('grounds', 'NNS')",ground,ground,description,grounds,O,,
Anglican,anglican,"('anglican', 'JJ')",anglican,anglican,description,Anglican,B,ORG,"Companies, agencies, institutions, etc."
Christ,christ,"('christ', 'NN')",christ,christ,description,Christ,I,ORG,"Companies, agencies, institutions, etc."
Church,church,"('church', 'NN')",church,church,description,Church,I,ORG,"Companies, agencies, institutions, etc."
Cathedral,cathedral,"('cathedral', 'JJ')",cathedr,cathedral,description,Cathedral,I,ORG,"Companies, agencies, institutions, etc."
provide,provide,"('provide', 'VBP')",provid,provide,description,provide,O,,
welcome,welcome,"('welcome', 'JJ')",welcom,welcome,description,welcome,O,,
break,break,"('break', 'NN')",break,break,description,break,O,,
commercial,commercial,"('commercial', 'JJ')",commerci,commercial,description,commercial,O,,
strip,strip,"('strip', 'NN')",strip,strip,description,strip,O,,
rue,rue,"('rue', 'NN')",rue,rue,description,rue,O,,
church,church,"('church', 'NN')",church,church,description,church,O,,
slender,slender,"('slender', 'NN')",slender,slender,description,slender,O,,
stone,stone,"('stone', 'NN')",stone,stone,description,stone,O,,
spire,spire,"('spire', 'NN')",spire,spire,description,spire,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
threatening,threatening,"('threatening', 'VBG')",threaten,threaten,description,threatening,O,,
crash,crash,"('crash', 'VB')",crash,crash,description,crash,O,,
wooden,wooden,"('wooden', 'JJ')",wooden,wooden,description,wooden,O,,
roof,roof,"('roof', 'NN')",roof,roof,description,roof,O,,
was,was,"('was', 'VBD')",wa,be,description,was,O,,
